bin,position,mean,sem,genotype,region,group,n_regions
58,886.0759493670885,7.284915503033133,0.674923871622154,FANCJKO,5UTR,hybrid,728
59,936.7088607594937,7.17234795829752,0.6777319965386257,FANCJKO,5UTR,hybrid,728
60,987.3417721518986,7.046044235646506,0.7069772218975255,FANCJKO,5UTR,hybrid,728
61,1037.9746835443038,6.857546692175088,0.7111310022567654,FANCJKO,5UTR,hybrid,728
62,1088.6075949367087,6.657871754871402,0.6911292751807664,FANCJKO,5UTR,hybrid,728
63,1139.240506329114,6.409502917299996,0.6857069252097361,FANCJKO,5UTR,hybrid,728
64,1189.8734177215188,6.203892385949801,0.6489702177120338,FANCJKO,5UTR,hybrid,728
65,1240.506329113924,5.878274930552903,0.5733122795279519,FANCJKO,5UTR,hybrid,728
66,1291.1392405063293,5.620980650718177,0.4940853173692707,FANCJKO,5UTR,hybrid,728
67,1341.7721518987341,5.375564727690412,0.43857466325032546,FANCJKO,5UTR,hybrid,728
68,1392.4050632911394,5.221037743368865,0.4077803818576556,FANCJKO,5UTR,hybrid,728
69,1443.0379746835442,5.089653320000285,0.39749089503554974,FANCJKO,5UTR,hybrid,728
70,1493.6708860759495,4.945472480621967,0.37184498535744603,FANCJKO,5UTR,hybrid,728
71,1544.3037974683543,4.729216764092227,0.3320794388449042,FANCJKO,5UTR,hybrid,728
72,1594.9367088607596,4.55471775964612,0.31080268531294325,FANCJKO,5UTR,hybrid,728
73,1645.5696202531644,4.404806191179997,0.29062350395230874,FANCJKO,5UTR,hybrid,728
74,1696.2025316455697,4.309871134207799,0.28768184918797696,FANCJKO,5UTR,hybrid,728
75,1746.8354430379745,4.262416802924195,0.28748460229590567,FANCJKO,5UTR,hybrid,728
76,1797.4683544303798,4.232119075903744,0.28360998943364835,FANCJKO,5UTR,hybrid,728
77,1848.1012658227846,4.14442775668242,0.2736238801999257,FANCJKO,5UTR,hybrid,728
78,1898.73417721519,4.0143160512170075,0.262146233374538,FANCJKO,5UTR,hybrid,728
79,1949.3670886075947,3.9302890916730893,0.2593409678818144,FANCJKO,5UTR,hybrid,728
80,2000,3.8989165905423655,0.27378209429491085,FANCJKO,5UTR,hybrid,728
1,-2000,2.5870694912349035,0.053118216334987235,FANCJKO,5UTR,none,16000
