bin,position,mean,sem,unit,ko,signal_geno,topology,direction,n_5utr,column
71,1544.3037974683543,3.633757224480311,0.39469906299874197,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
72,1594.9367088607596,3.4634507891825503,0.37200196310856154,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
73,1645.5696202531644,3.3460154622751808,0.3908774623786936,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
74,1696.2025316455697,3.2896526780393387,0.38415886694016904,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
75,1746.8354430379745,3.2468857938465145,0.3806511717066197,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
76,1797.4683544303798,3.2030121568880148,0.3739531200664999,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
77,1848.1012658227846,3.085750126304726,0.36204955518558535,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
78,1898.73417721519,3.0330417443025444,0.3486400853752772,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
79,1949.3670886075947,3.0442442808796963,0.34600638293113833,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
80,2000,2.985040745354361,0.33372338596134277,fragment,DHX36KO,WT,pooled,down,192,WT (DHX36KO DEGs)
1,-2000,2.827366011010276,0.3043653440268071,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
2,-1949.367088607595,2.9030014020469452,0.2980109686772099,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
3,-1898.73417721519,3.0628808563086722,0.2914640932281475,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
4,-1848.1012658227849,3.2094118277430534,0.29983214557082544,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
5,-1797.4683544303798,3.3677792261938255,0.33784175306919156,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
6,-1746.8354430379748,3.3775128220915795,0.3534447141167019,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
7,-1696.2025316455697,3.3148885599043636,0.3446287343567249,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
8,-1645.5696202531644,3.502350180632538,0.36641850927639413,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
9,-1594.9367088607596,3.7273681985868348,0.4148302240383268,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
10,-1544.3037974683543,4.04754632086224,0.508559045638817,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
11,-1493.6708860759495,4.389322273575598,0.7225614873537304,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
12,-1443.0379746835442,4.630388304551443,0.8236771588131386,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
13,-1392.4050632911392,4.7507469533681865,0.8913659117959414,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
14,-1341.7721518987341,4.759282395491997,0.9151675337001726,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
15,-1291.139240506329,4.663602157847749,0.790346085694432,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
16,-1240.506329113924,4.6428701341085965,0.5738236879841778,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
17,-1189.873417721519,4.807066453344292,0.5033803317512162,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
18,-1139.240506329114,5.144474103242159,0.589129587570874,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
19,-1088.607594936709,5.696885246492094,0.7823947357588711,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
20,-1037.9746835443038,6.083666462732686,0.9379932130376109,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
21,-987.3417721518988,6.558450571851598,1.0686614144103759,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
22,-936.7088607594937,6.960636155558957,1.130150184700393,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
23,-886.0759493670887,7.06329129228327,1.0861468741736529,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
24,-835.4430379746836,6.948389884481827,0.9340074575927244,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
25,-784.8101265822784,7.015404253847069,0.8976500086332497,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
26,-734.1772151898733,7.079790233853791,0.8754256029177812,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
27,-683.5443037974683,7.20357184588578,0.8812076987807708,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
28,-632.9113924050632,7.309818193919129,0.8716366058332748,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
29,-582.2784810126582,7.5802673617005345,0.9448061092345393,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
30,-531.6455696202531,8.245745846672191,1.0846989511025293,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
31,-481.0126582278481,9.045894080632262,1.238563378932819,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
32,-430.37974683544303,9.613487385021315,1.3023278849183906,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
33,-379.746835443038,10.204414744930135,1.3943558698051732,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
34,-329.11392405063293,10.883355624450578,1.5427447206065528,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
35,-278.4810126582279,11.678493701219558,1.6235037917631008,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
36,-227.84810126582283,12.25519230507811,1.6256159806578272,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
37,-177.21518987341778,12.311586869498093,1.4675625773065597,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
38,-126.58227848101274,11.915772864937782,1.141128465625805,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
39,-75.94936708860769,11.496259036372106,0.929815999342913,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
40,-25.316455696202638,11.218307023661005,0.8669416844965534,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
41,25.31645569620241,10.979986377888256,0.8087586979858695,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
42,75.94936708860769,10.538095035327805,0.787908300867629,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
43,126.58227848101251,10.090127399894927,0.7472115286036021,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
44,177.21518987341778,9.853056143790484,0.7368226463078914,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
45,227.8481012658226,9.266777280234628,0.7244870979057597,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
46,278.4810126582279,8.732867795192533,0.7597768356876511,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
47,329.1139240506327,8.29545945396026,0.7660564924302129,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
48,379.746835443038,7.957742483596007,0.7632817731439008,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
49,430.37974683544326,7.721502860311005,0.7631828922294147,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
50,481.0126582278481,7.51182849648926,0.7628484436483076,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
51,531.6455696202534,7.3703738652732635,0.7742450485960495,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
52,582.2784810126582,7.138928965843386,0.7611897885012571,fragment,DHX36KO,WT,parallel,up,240,WT (DHX36KO DEGs)
